Year,Drivers,Class,Team,Car,Tyre,Laps,Km,Mi,Series,Driver_nationality,Team_nationality,Average_speed_kmh,Average_speed_mph,Average_lap_time,Decade,Speed_Category,Endurance_Category,Km_per_Lap
1961.0,Olivier Gendebien,,Scuderia Ferrari,Ferrari 250 Tri/61,Dunlop,333.0,4476.58,2781.62,Wsc,Bel,Ita,186.52,115.9,4.32,1960,Fast,Ultra Long,13.44
1962.0,Phil Hill,,Scuderia Ferrari,Ferrari 330 Tri/lm Spyder,Dunlop,331.0,4451.255,2765.882,Cmve,Usa,Ita,185.47,115.25,4.35,1960,Fast,Ultra Long,13.45
1963.0,Ludovico Scarfiotti,,Spa Ferrari Sefac,Ferrari 250 P,Dunlop,339.0,4561.71,2834.52,Cmve,Ita,Ita,190.07,118.1,4.25,1960,Fast,Ultra Long,13.46
1964.0,Jean Guichet,,Spa Ferrari Sefac,Ferrari 275 P,Dunlop,349.0,4695.31,2917.53,Wsc,Fra,Ita,195.64,121.56,4.13,1960,Fast,Ultra Long,13.45
1965.0,Masten Gregory,,North American Racing Team,Ferrari 250 Lm,Goodyear,348.0,4677.11,2906.22,Wsc,Usa,Usa,194.88,121.09,4.14,1960,Fast,Ultra Long,13.44
1965.0,Jochen Rindt,,North American Racing Team,Ferrari 250 Lm,Goodyear,348.0,4677.11,2906.22,Cmve,Aut,Usa,194.88,121.09,4.14,1960,Fast,Ultra Long,13.44
1967.0,A. J. Foyt,,Shelby-american Inc.,Ford Gt40 Mk. Iv,Goodyear,388.0,5232.9,3251.6,Wsc,Usa,Usa,218.04,135.48,3.71,1960,Very Fast,Ultra Long,13.49
1967.0,Dan Gurney,,Shelby-american Inc.,Ford Gt40 Mk. Iv,Goodyear,388.0,5232.9,3251.6,Cmve,Usa,Usa,218.04,135.48,3.71,1960,Very Fast,Ultra Long,13.49
1969.0,Jackie Oliver,,J. W. Automotive Engineering,Ford Gt40 Mk. I,Firestone,372.0,4998.0,3106.0,Cfc,Gbr,Gbr,208.25,129.42,3.87,1960,Very Fast,Ultra Long,13.44
1971.0,Helmut Marko,,Martini Racing Team,Porsche 917kh Coupé,Firestone,397.0,5335.313,3315.21,Icm,Aut,Deu,222.3,138.13,3.63,1970,Very Fast,Ultra Long,13.44
1971.0,Gijs Van Lennep,,Martini Racing Team,Porsche 917kh Coupé,Firestone,397.0,5335.313,3315.21,Cmve,Ned,Deu,222.3,138.13,3.63,1970,Very Fast,Ultra Long,13.44
1972.0,Graham Hill,,Equipe Matra-simca Shell,Matra-simca Ms670,Goodyear,344.0,4691.343,2915.065,Wcm,Gbr,Fra,195.47,121.46,4.19,1970,Fast,Ultra Long,13.64
1974.0,Henri Pescarolo,,Equipe Gitanes,Matra-simca Ms670c,Goodyear,338.0,4606.571,2862.391,Cmve,Fra,Fra,191.94,119.27,4.26,1970,Fast,Ultra Long,13.63
1976.0,Gijs Van Lennep,,Martini Racing Porsche System,Porsche 936/76 Spyder,Goodyear,349.0,4769.923,2963.893,No Series,Ned,Deu,198.75,123.5,4.13,1970,Fast,Ultra Long,13.67
1977.0,Hurley Haywood,,Martini Racing Porsche System,Porsche 936/77 Spyder,Dunlop,342.0,4671.63,2902.82,No Series,Usa,Deu,194.65,120.95,4.21,1970,Fast,Ultra Long,13.66
1979.0,Bill Whittington,,Porsche Kremer Racing,Porsche 935 K3,Dunlop,307.0,4173.93,2593.56,Wced,Usa,Deu,173.91,108.06,4.69,1970,Fast,Ultra Long,13.6
1979.0,Don Whittington,,Porsche Kremer Racing,Porsche 935 K3,Dunlop,307.0,4173.93,2593.56,Wced,Usa,Deu,173.91,108.06,4.69,1970,Fast,Ultra Long,13.6
1981.0,Derek Bell,,Porsche System,Porsche 936/81,Dunlop,354.0,4825.348,2998.332,Wec,Gbr,Deu,201.06,124.93,4.07,1980,Very Fast,Ultra Long,13.63
1982.0,Jacky Ickx,,Rothmans Porsche System,Porsche 956,Dunlop,359.0,4899.086,3044.151,Wec,Bel,Deu,204.13,126.84,4.01,1980,Very Fast,Ultra Long,13.65
1983.0,Hurley Haywood,,Rothmans Porsche,Porsche 956,Dunlop,371.0,5047.934,3136.641,Eec,Usa,Deu,210.33,130.69,3.88,1980,Very Fast,Ultra Long,13.61
1983.0,Vern Schuppan,,Rothmans Porsche,Porsche 956,Dunlop,371.0,5047.934,3136.641,Wec,Aus,Deu,210.33,130.69,3.88,1980,Very Fast,Ultra Long,13.61
1985.0,"""""""john Winter""""""",,Joest Racing,Porsche 956b,Dunlop,374.0,5088.507,3161.852,Wec,Deu,Deu,212.02,131.74,3.85,1980,Very Fast,Ultra Long,13.61
1986.0,Derek Bell,,Rothmans Porsche,Porsche 962c,Dunlop,368.0,4972.731,3089.912,Wspc,Gbr,Deu,207.2,128.75,3.91,1980,Very Fast,Ultra Long,13.51
1986.0,Al Holbert,,Rothmans Porsche,Porsche 962c,Dunlop,368.0,4972.731,3089.912,Wspc,Usa,Deu,207.2,128.75,3.91,1980,Very Fast,Ultra Long,13.51
1986.0,Hans-joachim Stuck,,Rothmans Porsche,Porsche 962c,Dunlop,368.0,4972.731,3089.912,Wspc,Deu,Deu,207.2,128.75,3.91,1980,Very Fast,Ultra Long,13.51
1987.0,Al Holbert,,Rothmans Porsche,Porsche 962c,Dunlop,355.0,4791.777,2977.472,Wspc,Usa,Deu,199.66,124.06,4.06,1980,Fast,Ultra Long,13.5
1989.0,Stanley Dickens,,Team Sauber Mercedes,Sauber C9/88-mercedes-benz,Michelin,389.0,5265.115,3271.591,No Series,Swe,Deu,219.38,136.32,3.7,1980,Very Fast,Ultra Long,13.54
1990.0,John Nielsen,,Silk Cut Jaguar,Jaguar Xjr-12 Lm,Goodyear,359.0,4882.4,3033.78,No Series,Den,Gbr,203.43,126.41,4.01,1990,Very Fast,Ultra Long,13.6
1991.0,Bertrand Gachot,,Mazdaspeed Co. Ltd.,Mazda 787b,Dunlop,362.0,4922.81,3058.89,Wsc,Bel,Jpn,205.12,127.45,3.98,1990,Very Fast,Ultra Long,13.6
1991.0,Volker Weidler,,Mazdaspeed Co. Ltd.,Mazda 787b,Dunlop,362.0,4922.81,3058.89,Wsc,Deu,Jpn,205.12,127.45,3.98,1990,Very Fast,Ultra Long,13.6
1992.0,Mark Blundell,,Peugeot Talbot Sport,Peugeot 905 Evo 1 Bis,Michelin,352.0,4787.2,2974.6,Wsc,Gbr,Fra,199.47,123.94,4.09,1990,Fast,Ultra Long,13.6
1992.0,Derek Warwick,,Peugeot Talbot Sport,Peugeot 905 Evo 1 Bis,Michelin,352.0,4787.2,2974.6,Wsc,Gbr,Fra,199.47,123.94,4.09,1990,Fast,Ultra Long,13.6
1994.0,Mauro Baldi,,Le Mans Porsche Team,Dauer 962 Le Mans-porsche,Goodyear,344.0,4685.701,2911.56,No Series,Ita,Deu,195.24,121.32,4.19,1990,Fast,Ultra Long,13.62
1998.0,Laurent Aïello,,Porsche Ag,Porsche 911 Gt1-98,Michelin,365.0,4783.781,2972.504,No Series,Fra,Deu,199.32,123.85,3.95,1990,Fast,Ultra Long,13.11
1999.0,Pierluigi Martini,,Team Bmw Motorsport,Bmw V12 Lmr,Michelin,366.0,4982.974,3096.276,No Series,Ita,Deu,207.62,129.01,3.93,1990,Very Fast,Ultra Long,13.61
2001.0,Emanuele Pirro,,Audi Sport Team Joest,Audi R8,Michelin,321.0,4367.2,2713.7,No Series,Ita,Deu,181.97,113.07,4.49,2000,Fast,Ultra Long,13.6
2007.0,Emanuele Pirro,,Audi Sport North America,Audi R10 Tdi,Michelin,369.0,5029.101,3124.938,No Series,Ita,Deu,209.55,130.21,3.9,2000,Very Fast,Ultra Long,13.63
2007.0,Marco Werner,,Audi Sport North America,Audi R10 Tdi,Michelin,369.0,5029.101,3124.938,No Series,Deu,Deu,209.55,130.21,3.9,2000,Very Fast,Ultra Long,13.63
2009.0,Alexander Wurz,,Peugeot Sport Total,Peugeot 908 Hdi Fap,Michelin,382.0,5206.278,3235.031,No Series,Aut,Fra,216.93,134.79,3.77,2000,Very Fast,Ultra Long,13.63
2011.0,Marcel Fässler,,Audi Sport Team Joest,Audi R18 Tdi,Michelin,355.0,4838.295,3006.377,Ilmc,Sui,Deu,201.6,125.27,4.06,2010,Very Fast,Ultra Long,13.63
2013.0,Loïc Duval,,Audi Sport Team Joest,Audi R18 E-tron Quattro,Michelin,348.0,4742.892,2947.096,Fia Wec,Fra,Deu,197.62,122.8,4.14,2010,Fast,Ultra Long,13.63
2014.0,Marcel Fässler,,Audi Sport Team Joest,Audi R18 E-tron Quattro,Michelin,379.0,5165.391,3209.625,Fia Wec,Sui,Deu,215.22,133.73,3.8,2010,Very Fast,Ultra Long,13.63
2016.0,Neel Jani,,Porsche Team,Porsche 919 Hybrid,Michelin,384.0,5233.536,3251.969,Fia Wec,Sui,Deu,218.06,135.5,3.75,2010,Very Fast,Ultra Long,13.63
2019.0,Fernando Alonso,,Toyota Gazoo Racing,Toyota Ts050 Hybrid,Michelin,385.0,5246.01,3259.72,Fia Wec,Esp,Jpn,218.58,135.82,3.74,2010,Very Fast,Ultra Long,13.63
2020.0,Brendon Hartley,,Toyota Gazoo Racing,Toyota Ts050 Hybrid,Michelin,387.0,5272.46,3276.15,Fia Wec,Nzl,Jpn,219.69,136.51,3.72,2020,Very Fast,Ultra Long,13.62
2020.0,Kazuki Nakajima,,Toyota Gazoo Racing,Toyota Ts050 Hybrid,Michelin,387.0,5272.46,3276.15,Fia Wec,Jpn,Jpn,219.69,136.51,3.72,2020,Very Fast,Ultra Long,13.62
2022.0,Brendon Hartley,,Toyota Gazoo Racing,Toyota Gr010 Hybrid,Michelin,380.0,5177.17,3217.0,Fia Wec,Nzl,Jpn,215.72,134.04,3.79,2020,Very Fast,Ultra Long,13.62
2022.0,Ryō Hirakawa,,Toyota Gazoo Racing,Toyota Gr010 Hybrid,Michelin,380.0,5177.17,3217.0,Fia Wec,Jpn,Jpn,215.72,134.04,3.79,2020,Very Fast,Ultra Long,13.62
2023.0,Alessandro Pier Guidi,,Ferrari – Af Corse,Ferrari 499p,Michelin,342.0,4660.1,2895.65,Fia Wec,Ita,Ita,194.17,120.65,4.21,2020,Fast,Ultra Long,13.63
1923.0,René Léonard,3.0,Chenard & Walcker Sa,Chenard-walcker Type U3 15cv Sport,Michelin,128.0,2209.536,1372.942,No Series,Fra,Fra,92.06,57.21,11.25,1920,Slow,Medium,17.26
1924.0,Frank Clement,3.0,Duff & Aldington,Bentley 3 Litre Sport,Rapson,120.0,2077.34,1290.8,No Series,Gbr,Gbr,86.56,53.78,12.0,1920,Slow,Medium,17.31
1925.0,André Rossignol,5.0,Société Lorraine De Dietrich Et Cie,Lorraine-dietrich B3-6 Sport,Englebert,129.0,2233.982,1388.132,No Series,Fra,Fra,93.08,57.84,11.16,1920,Slow,Medium,17.32
1927.0,Dudley Benjafield,3.0,Bentley Motors Limited,Bentley 3 Litre Speed,Dunlop,137.0,2369.807,1472.53,No Series,Gbr,Gbr,98.74,61.36,10.51,1920,Slow,Medium,17.3
1928.0,Woolf Barnato,5.0,Bentley Motors Limited,Bentley 4½ Litre,Dunlop,155.0,2669.272,1658.609,No Series,Gbr,Gbr,111.22,69.11,9.29,1920,Medium,Long,17.22
1929.0,Woolf Barnato,8.0,Bentley Motors Limited,Bentley Speed Six,Dunlop,174.0,2843.83,1767.07,No Series,Gbr,Gbr,118.49,73.63,8.28,1920,Medium,Long,16.34
1930.0,Woolf Barnato,3.0,Bentley Motors Limited,Bentley Speed Six,Dunlop,179.0,2930.663,1821.03,No Series,Gbr,Gbr,122.11,75.88,8.04,1930,Medium,Long,16.37
1932.0,Luigi Chinetti,5.0,Raymond Sommer,Alfa Romeo 8c-2300 Lm,Englebert,218.0,2954.038,1835.554,No Series,Ita,Fra,123.08,76.48,6.61,1930,Medium,Ultra Long,13.55
1933.0,Tazio Nuvolari,5.0,Raymond Sommer,Alfa Romeo 8c-2300 Mm,Pirelli,233.0,3144.038,1953.615,No Series,Ita,Fra,131.0,81.4,6.18,1930,Medium,Ultra Long,13.49
1933.0,Raymond Sommer,5.0,Raymond Sommer,Alfa Romeo 8c-2300 Mm,Pirelli,233.0,3144.038,1953.615,No Series,Fra,Fra,131.0,81.4,6.18,1930,Medium,Ultra Long,13.49
1938.0,Eugène Chaboud,5.0,Eugène Chaboud Et Jean Trémoulet,Delahaye 135cs,Dunlop,235.0,3180.94,1976.54,No Series,Fra,Fra,132.54,82.36,6.13,1930,Medium,Ultra Long,13.54
1949.0,Luigi Chinetti,,Lord Selsdon,Ferrari 166 Mm,Englebert,235.0,3178.299,1974.903,No Series,Usa,Gbr,132.43,82.29,6.13,1940,Medium,Ultra Long,13.52
1950.0,Louis Rosier,,Louis Rosier,Talbot Lago Grand Sport T26,Dunlop,256.0,3465.12,2153.13,No Series,Fra,Fra,144.38,89.71,5.62,1950,Medium,Ultra Long,13.54
1951.0,Peter Walker,,Peter Walker,Jaguar Xk-120c,Dunlop,267.0,3611.193,2243.891,No Series,Gbr,Gbr,150.47,93.5,5.39,1950,Fast,Ultra Long,13.53
1951.0,Peter Whitehead,,Peter Walker,Jaguar Xk-120c,Dunlop,267.0,3611.193,2243.891,No Series,Gbr,Gbr,150.47,93.5,5.39,1950,Fast,Ultra Long,13.53
1952.0,Hermann Lang,,Daimler-benz A.g.,Mercedes-benz 300 Sl W194,Continental,277.0,3733.8,2320.076,No Series,Deu,Deu,155.58,96.67,5.2,1950,Fast,Ultra Long,13.48
1957.0,Ivor Bueb,,Ecurie Ecosse,Jaguar D-type,Dunlop,327.0,4397.108,2732.236,Wsc,Gbr,Gbr,183.21,113.84,4.4,1950,Fast,Ultra Long,13.45
1959.0,Carroll Shelby,,David Brown Racing Dept.,Aston Martin Dbr1/300,A,323.0,4347.9,2701.7,Wsc,Usa,Gbr,181.16,112.57,4.46,1950,Fast,Ultra Long,13.46
1961.0,Phil Hill,,Scuderia Ferrari,Ferrari 250 Tri/61,Dunlop,333.0,4476.58,2781.62,G,Usa,Ita,186.52,115.9,4.32,1960,Fast,Ultra Long,13.44
1963.0,Lorenzo Bandini,,Spa Ferrari Sefac,Ferrari 250 P,Dunlop,339.0,4561.71,2834.52,Wsc,Ita,Ita,190.07,118.1,4.25,1960,Fast,Ultra Long,13.46
1966.0,Bruce Mclaren,,Shelby-american Inc.,Ford Gt40 Mk. Ii,Goodyear,360.0,4843.09,3009.36,Cmve,Nzl,Usa,201.8,125.39,4.0,1960,Very Fast,Ultra Long,13.45
1972.0,Henri Pescarolo,,Equipe Matra-simca Shell,Matra-simca Ms670,Goodyear,344.0,4691.343,2915.065,Cmve,Fra,Fra,195.47,121.46,4.19,1970,Fast,Ultra Long,13.64
1973.0,Gérard Larrousse,,Equipe Matra-simca Shell,Matra-simca Ms670b,Goodyear,355.0,4853.945,3016.102,Wcm,Fra,Fra,202.25,125.67,4.06,1970,Very Fast,Ultra Long,13.67
1973.0,Henri Pescarolo,,Equipe Matra-simca Shell,Matra-simca Ms670b,Goodyear,355.0,4853.945,3016.102,Cmve,Fra,Fra,202.25,125.67,4.06,1970,Very Fast,Ultra Long,13.67
1975.0,Derek Bell,,Gulf Research Racing Co.,Mirage Gr8-ford Cosworth,Goodyear,336.0,4595.577,2855.559,No Series,Gbr,Gbr,191.48,118.98,4.29,1970,Fast,Ultra Long,13.68
1980.0,Jean-pierre Jaussaud,,Jean Rondeau,Rondeau M379b-ford,Goodyear,338.0,4608.02,2863.29,Wcm,Fra,Fra,192.0,119.3,4.26,1980,Fast,Ultra Long,13.63
1984.0,Henri Pescarolo,,Joest Racing,Porsche 956b,Dunlop,360.0,4900.276,3044.89,Wec,Fra,Deu,204.18,126.87,4.0,1980,Very Fast,Ultra Long,13.61
1985.0,Paolo Barilla,,Joest Racing,Porsche 956b,Dunlop,374.0,5088.507,3161.852,Wec,Ita,Deu,212.02,131.74,3.85,1980,Very Fast,Ultra Long,13.61
1985.0,Klaus Ludwig,,Joest Racing,Porsche 956b,Dunlop,374.0,5088.507,3161.852,Wec,Deu,Deu,212.02,131.74,3.85,1980,Very Fast,Ultra Long,13.61
1987.0,Derek Bell,,Rothmans Porsche,Porsche 962c,Dunlop,355.0,4791.777,2977.472,Wspc,Gbr,Deu,199.66,124.06,4.06,1980,Fast,Ultra Long,13.5
1987.0,Hans-joachim Stuck,,Rothmans Porsche,Porsche 962c,Dunlop,355.0,4791.777,2977.472,Wspc,Deu,Deu,199.66,124.06,4.06,1980,Fast,Ultra Long,13.5
1992.0,Yannick Dalmas,,Peugeot Talbot Sport,Peugeot 905 Evo 1 Bis,Michelin,352.0,4787.2,2974.6,Wsc,Fra,Fra,199.47,123.94,4.09,1990,Fast,Ultra Long,13.6
1993.0,Christophe Bouchut,,Peugeot Talbot Sport,Peugeot 905 Evo 1 Bis,Michelin,375.0,5100.0,3200.0,No Series,Fra,Fra,212.5,133.33,3.84,1990,Very Fast,Ultra Long,13.6
1994.0,Yannick Dalmas,,Le Mans Porsche Team,Dauer 962 Le Mans-porsche,Goodyear,344.0,4685.701,2911.56,No Series,Fra,Deu,195.24,121.32,4.19,1990,Fast,Ultra Long,13.62
1994.0,Hurley Haywood,,Le Mans Porsche Team,Dauer 962 Le Mans-porsche,Goodyear,344.0,4685.701,2911.56,No Series,Usa,Deu,195.24,121.32,4.19,1990,Fast,Ultra Long,13.62
1997.0,Tom Kristensen,,Joest Racing,Twr Porsche Wsc-95,Goodyear,361.0,4909.6,3050.7,No Series,Den,Deu,204.57,127.11,3.99,1990,Very Fast,Ultra Long,13.6
1998.0,Allan Mcnish,,Porsche Ag,Porsche 911 Gt1-98,Michelin,365.0,4783.781,2972.504,No Series,Gbr,Deu,199.32,123.85,3.95,1990,Fast,Ultra Long,13.11
1999.0,Joachim Winkelhock,,Team Bmw Motorsport,Bmw V12 Lmr,Michelin,366.0,4982.974,3096.276,No Series,Deu,Deu,207.62,129.01,3.93,1990,Very Fast,Ultra Long,13.61
2000.0,Tom Kristensen,,Audi Sport Team Joest,Audi R8,Michelin,368.0,5007.988,3111.819,No Series,Den,Deu,208.67,129.66,3.91,2000,Very Fast,Ultra Long,13.61
2003.0,Tom Kristensen,,Team Bentley,Bentley Speed 8,Michelin,377.0,5145.571,3197.31,No Series,Den,Gbr,214.4,133.22,3.82,2000,Very Fast,Ultra Long,13.65
2006.0,Emanuele Pirro,,Audi Sport Team Joest,Audi R10 Tdi,Michelin,380.0,5187.0,3223.0,No Series,Ita,Deu,216.12,134.29,3.79,2000,Very Fast,Ultra Long,13.65
2008.0,Rinaldo Capello,,Audi Sport North America,Audi R10 Tdi,Michelin,381.0,5192.649,3226.562,No Series,Ita,Deu,216.36,134.44,3.78,2000,Very Fast,Ultra Long,13.63
2008.0,Tom Kristensen,,Audi Sport North America,Audi R10 Tdi,Michelin,381.0,5192.649,3226.562,No Series,Den,Deu,216.36,134.44,3.78,2000,Very Fast,Ultra Long,13.63
2009.0,David Brabham,,Peugeot Sport Total,Peugeot 908 Hdi Fap,Michelin,382.0,5206.278,3235.031,No Series,Aus,Fra,216.93,134.79,3.77,2000,Very Fast,Ultra Long,13.63
2011.0,André Lotterer,,Audi Sport Team Joest,Audi R18 Tdi,Michelin,355.0,4838.295,3006.377,Ilmc,Deu,Deu,201.6,125.27,4.06,2010,Very Fast,Ultra Long,13.63
2013.0,Tom Kristensen,,Audi Sport Team Joest,Audi R18 E-tron Quattro,Michelin,348.0,4742.892,2947.096,Fia Wec,Den,Deu,197.62,122.8,4.14,2010,Fast,Ultra Long,13.63
2013.0,Allan Mcnish,,Audi Sport Team Joest,Audi R18 E-tron Quattro,Michelin,348.0,4742.892,2947.096,Fia Wec,Gbr,Deu,197.62,122.8,4.14,2010,Fast,Ultra Long,13.63
2014.0,Benoît Tréluyer,,Audi Sport Team Joest,Audi R18 E-tron Quattro,Michelin,379.0,5165.391,3209.625,Fia Wec,Fra,Deu,215.22,133.73,3.8,2010,Very Fast,Ultra Long,13.63
2017.0,Brendon Hartley,,Porsche Lmp Team,Porsche 919 Hybrid,Michelin,367.0,5001.23,3107.62,Fia Wec,Nzl,Deu,208.38,129.48,3.92,2010,Very Fast,Ultra Long,13.63
2019.0,Sébastien Buemi,,Toyota Gazoo Racing,Toyota Ts050 Hybrid,Michelin,385.0,5246.01,3259.72,Fia Wec,Sui,Jpn,218.58,135.82,3.74,2010,Very Fast,Ultra Long,13.63
2020.0,Sébastien Buemi,,Toyota Gazoo Racing,Toyota Ts050 Hybrid,Michelin,387.0,5272.46,3276.15,Fia Wec,Sui,Jpn,219.69,136.51,3.72,2020,Very Fast,Ultra Long,13.62
2021.0,Kamui Kobayashi,,Toyota Gazoo Racing,Toyota Gr010 Hybrid,Michelin,371.0,5054.5,3140.7,Fia Wec,Jpn,Jpn,210.6,130.86,3.88,2020,Very Fast,Ultra Long,13.62
2022.0,Sébastien Buemi,,Toyota Gazoo Racing,Toyota Gr010 Hybrid,Michelin,380.0,5177.17,3217.0,Fia Wec,Sui,Jpn,215.72,134.04,3.79,2020,Very Fast,Ultra Long,13.62
2023.0,James Calado,,Ferrari – Af Corse,Ferrari 499p,Michelin,342.0,4660.1,2895.65,Fia Wec,Gbr,Ita,194.17,120.65,4.21,2020,Fast,Ultra Long,13.63
1924.0,John Duff,3.0,Duff & Aldington,Bentley 3 Litre Sport,Rapson,120.0,2077.34,1290.8,No Series,Can,Gbr,86.56,53.78,12.0,1920,Slow,Medium,17.31
1928.0,Bernard Rubin,5.0,Bentley Motors Limited,Bentley 4½ Litre,Dunlop,155.0,2669.272,1658.609,No Series,Aus,Gbr,111.22,69.11,9.29,1920,Medium,Long,17.22
1929.0,Henry Birkin,8.0,Bentley Motors Limited,Bentley Speed Six,Dunlop,174.0,2843.83,1767.07,No Series,Gbr,Gbr,118.49,73.63,8.28,1920,Medium,Long,16.34
1931.0,Henry Birkin,3.0,Earl Howe,Alfa Romeo 8c-2300 Lm,Dunlop,184.0,3017.654,1875.083,No Series,Gbr,Gbr,125.74,78.13,7.83,1930,Medium,Long,16.4
1934.0,Luigi Chinetti,3.0,Luigi Chinetti/philippe Étancelin,Alfa Romeo 8c 2300,Englebert,213.0,2886.938,1793.86,No Series,Ita,Ita,120.29,74.74,6.76,1930,Medium,Ultra Long,13.55
1934.0,Philippe Étancelin,3.0,Luigi Chinetti/philippe Étancelin,Alfa Romeo 8c 2300,Englebert,213.0,2886.938,1793.86,No Series,Fra,Ita,120.29,74.74,6.76,1930,Medium,Ultra Long,13.55
1939.0,Jean-pierre Wimille,8.0,Jean-pierre Wimille,Bugatti Type 57s Tank,Dunlop,248.0,3354.76,2084.55,No Series,Fra,Fra,139.78,86.86,5.81,1930,Medium,Ultra Long,13.53
1952.0,Fritz Riess,,Daimler-benz A.g.,Mercedes-benz 300 Sl W194,Continental,277.0,3733.8,2320.076,No Series,Deu,Deu,155.58,96.67,5.2,1950,Fast,Ultra Long,13.48
1953.0,Duncan Hamilton,,Jaguar Cars Ltd.,Jaguar C-type,Dunlop,304.0,4088.064,2540.205,Wsc,Gbr,Gbr,170.34,105.84,4.74,1950,Fast,Ultra Long,13.45
1955.0,Mike Hawthorn,,Jaguar Cars Ltd.,Jaguar D-type,Dunlop,307.0,4135.38,2569.61,Wsc,Gbr,Gbr,172.31,107.07,4.69,1950,Fast,Ultra Long,13.47
1956.0,Ron Flockhart,,Ecurie Ecosse,Jaguar D-type,Dunlop,300.0,4034.929,2507.189,No Series,Gbr,Gbr,168.12,104.47,4.8,1950,Fast,Ultra Long,13.45
1960.0,Paul Frère,,Scuderia Ferrari,Ferrari 250 Tr59/60,Dunlop,314.0,4217.527,2620.65,Wsc,Bel,Ita,175.73,109.19,4.59,1960,Fast,Ultra Long,13.43
1960.0,Olivier Gendebien,,Scuderia Ferrari,Ferrari 250 Tr59/60,Dunlop,314.0,4217.527,2620.65,G,Bel,Ita,175.73,109.19,4.59,1960,Fast,Ultra Long,13.43
1964.0,Nino Vaccarella,,Spa Ferrari Sefac,Ferrari 275 P,Dunlop,349.0,4695.31,2917.53,Cmve,Ita,Ita,195.64,121.56,4.13,1960,Fast,Ultra Long,13.45
1965.0,Ed Hugus,,North American Racing Team,Ferrari 250 Lm,Goodyear,348.0,4677.11,2906.22,Wsc,Usa,Usa,194.88,121.09,4.14,1960,Fast,Ultra Long,13.44
1966.0,Chris Amon,,Shelby-american Inc.,Ford Gt40 Mk. Ii,Goodyear,360.0,4843.09,3009.36,Wsc,Nzl,Usa,201.8,125.39,4.0,1960,Very Fast,Ultra Long,13.45
